iter	Passed	Remaining
462	53219	61725
463	53381	61664
464	53517	61573
465	53613	61437
466	53709	61300
467	53829	61191
468	53918	61046
469	54045	60944
470	54204	60879
471	54298	60740
472	54400	60611
473	54546	60530
474	54660	60414
475	54786	60310
476	54903	60198
477	55012	60076
478	55121	59954
479	55280	59886
480	55372	59746
481	55509	59655
482	55648	59565
483	55778	59466
484	55879	59335
485	56001	59228
486	56129	59126
487	56233	58999
488	56338	58873
489	56458	58762
490	56580	58654
491	56703	58547
492	56843	58458
493	56946	58329
494	57047	58199
495	57173	58096
496	57304	57996
497	57407	57869
498	57498	57728
499	57634	57634
500	57745	57514
501	57862	57401
502	57983	57291
503	58084	57162
504	58184	57032
505	58314	56931
506	58413	56800
507	58523	56679
508	58679	56604
509	58802	56496
510	58892	56356
511	58998	56232
512	59115	56119
513	59228	56001
514	59390	55931
515	59509	55818
516	59610	55690
517	59679	55531
518	59814	55435
519	59950	55339
520	60050	55209
521	60148	55078
522	60257	54957
523	60372	54841
524	60487	54726
525	60597	54606
526	60695	54476
527	60786	54339
528	60899	54222
529	61007	54100
530	61091	53958
531	61187	53826
532	61283	53695
533	61379	53563
534	61484	53439
535	61586	53313
536	61696	53194
537	61792	53063
538	61894	52937
539	61981	52799
540	62073	52665
541	62179	52542
542	62271	52408
543	62370	52281
544	62469	52153
545	62576	52032
546	62670	51900
547	62764	51769
548	62895	51668
549	62991	51538
550	63090	51411
551	63176	51273
552	63268	51141
553	63367	51014
554	63451	50875
555	63557	50754
556	63667	50636
557	63766	50510
558	63868	50386
559	63973	50264
560	64071	50138
561	64191	50028
562	64287	49900
563	64366	49758
564	64464	49632
565	64584	49522
566	64684	49397
567	64786	49274
568	64874	49140
569	64984	49023
570	65075	48891
571	65180	48771
572	65278	48645
573	65366	48512
574	65455	48379
575	65563	48261
576	65663	48138
577	65769	48018
578	65849	47880
579	65934	47745
580	66034	47622
581	66141	47503
582	66224	47367
583	66328	47247
584	66429	47125
585	66508	46987
586	66608	46864
587	66693	46730
588	66799	46611
589	66895	46486
590	66993	46362
591	67069	46223
592	67177	46106
593	67316	46011
594	67419	45890
595	67511	45763
596	67611	45640
597	67717	45522
598	67763	45364
599	67885	45257
600	68024	45160
601	68128	45041
602	68251	44935
603	68356	44816
604	68526	44740
605	68630	44620
606	68722	44493
607	68828	44376
608	68968	44280
609	69080	44166
610	69206	44061
611	69329	43953
612	69416	43824
613	69519	43704
614	69628	43588
615	69737	43472
616	69836	43350
617	69928	43224
618	70038	43109
619	70148	42994
620	70248	42872
621	70366	42762
622	70475	42647
623	70568	42522
624	70668	42400
625	70748	42268
626	70864	42157
627	70950	42028
628	71084	41927
629	71201	41816
630	71333	41714
631	71462	41610
632	71621	41524
633	71720	41403
634	71808	41275
635	71923	41163
636	72022	41042
637	72126	40924
638	72220	40800
639	72312	40676
640	72394	40545
641	72498	40427
642	72609	40313
643	72736	40208
644	72865	40104
645	72962	39982
646	73063	39863
647	73199	39762
648	73293	39639
649	73385	39515
650	73495	39400
651	73626	39297
652	73726	39177
653	73799	39044
654	73960	38956
655	74057	38835
656	74150	38711
657	74271	38602
658	74315	38454
659	74424	38339
660	74535	38226
661	74642	38110
662	74742	37991
663	74822	37861
664	74927	37745
665	75010	37617
666	75113	37500
667	75262	37405
668	75360	37286
669	75462	37167
670	75564	37050
671	75660	36929
672	75760	36810
673	75862	36693
674	75960	36573
675	76063	36456
676	76178	36345
677	76265	36220
678	76352	36096
679	76463	35982
680	76557	35861
681	76688	35757
682	76810	35649
683	76931	35541
684	77025	35420
685	77115	35297
686	77230	35186
687	77325	35066
688	77446	34957
689	77548	34840
690	77642	34719
691	77766	34612
692	77879	34500
693	77954	34372
694	78051	34252
695	78149	34134
696	78203	33996
697	78284	33870
698	78371	33747
699	78463	33627
700	78560	33508
701	78699	33407
702	78817	33298
703	78942	33191
704	79061	33082
705	79213	32986
706	79318	32871
707	79416	32753
708	79507	32632
709	79615	32518
710	79715	32401
711	79814	32284
712	79911	32166
713	80016	32051
714	80153	31949
715	80286	31845
716	80414	31739
717	80507	31619
718	80609	31503
719	80742	31399
720	80863	31290
721	80964	31174
722	81060	31056
723	81158	30938
724	81246	30817
725	81354	30704
726	81475	30595
727	81569	30476
728	81624	30343
729	81761	30240
730	81866	30126
731	81960	30007
732	82091	29902
733	82207	29791
734	82315	29678
735	82446	29573
736	82492	29437
737	82592	29321
738	82690	29204
739	82806	29094
740	82922	28983
741	83052	28877
742	83166	28766
743	83268	28651
744	83387	28542
745	83501	28430
746	83645	28329
747	83795	28230
748	83903	28117
749	83958	27986
750	84082	27878
751	84213	27772
752	84321	27659
753	84409	27539
754	84524	27428
755	84668	27326
756	84837	27233
757	84954	27122
758	85098	27020
759	85250	26921
760	85372	26812
761	85517	26710
762	85647	26603
763	85737	26484
764	85842	26369
765	85958	26258
766	86089	26152
767	86223	26046
768	86319	25929
769	86439	25819
770	86533	25701
771	86653	25591
772	86748	25474
773	86841	25356
774	86941	25240
775	87051	25128
776	87135	25007
777	87246	24895
778	87361	24784
779	87500	24679
780	87623	24570
781	87789	24473
782	87931	24369
783	88028	24252
784	88147	24142
785	88268	24032
786	88376	23918
787	88474	23802
788	88571	23686
789	88652	23565
790	88757	23451
791	88897	23346
792	89010	23234
793	89118	23121
794	89250	23014
795	89373	22904
796	89464	22786
797	89613	22684
798	89744	22576
799	89873	22468
800	90003	22360
801	90153	22257
802	90283	22149
803	90437	22046
804	90574	21940
805	90725	21837
806	90872	21732
807	90951	21612
808	91073	21501
809	91215	21396
810	91309	21279
811	91438	21170
812	91556	21059
813	91687	20950
814	91813	20841
815	91918	20726
816	92015	20610
817	92121	20496
818	92254	20388
819	92390	20280
820	92524	20172
821	92709	20075
822	92809	19960
823	92965	19856
824	93084	19745
825	93223	19637
826	93326	19522
827	93437	19409
828	93517	19290
829	93636	19178
830	93752	19066
831	93914	18963
832	94017	18848
833	94127	18735
834	94237	18621
835	94341	18507
836	94518	18406
837	94629	18293
838	94723	18176
839	94842	18065
840	94946	17950
841	95055	17837
842	95167	17723
843	95272	17609
844	95385	17496
845	95497	17383
846	95589	17267
847	95682	17150
848	95809	17040
849	95900	16923
850	96027	16813
851	96149	16702
852	96234	16584
853	96363	16474
854	96502	16365
855	96628	16255
856	96758	16145
857	96888	16035
858	97016	15924
859	97149	15815
860	97246	15699
861	97336	15582
862	97490	15476
863	97623	15366
864	97736	15253
865	97843	15139
866	97930	15022
867	98023	14906
868	98112	14790
869	98214	14675
870	98318	14561
871	98443	14450
872	98548	14336
873	98650	14221
874	98755	14107
875	98853	13992
876	98937	13876
877	99057	13764
878	99177	13652
879	99315	13543
880	99441	13431
881	99538	13316
882	99659	13205
883	99792	13094
884	99882	12979
885	99997	12866
886	100097	12751
887	100189	12636
888	100287	12521
889	100375	12405
890	100488	12293
891	100625	12183
892	100754	12072
893	100877	11960
894	100966	11845
895	101070	11731
896	101184	11618
897	101304	11506
898	101412	11393
899	101504	11278
900	101646	11168
901	101746	11054
902	101862	10942
903	101988	10830
904	102122	10720
905	102226	10606
906	102337	10493
907	102433	10378
908	102527	10264
909	102610	10148
910	102730	10036
911	102830	9922
912	102961	9811
913	103056	9696
914	103191	9586
915	103315	9474
916	103424	9361
917	103486	9243
918	103635	9134
919	103722	9019
920	103842	8907
921	103948	8793
922	104055	8680
923	104155	8566
924	104235	8451
925	104321	8336
926	104462	8226
927	104575	8113
928	104681	8000
929	104767	7885
930	104857	7771
931	104975	7659
932	105095	7547
933	105209	7434
934	105299	7320
935	105398	7206
936	105523	7094
937	105638	6982
938	105722	6868
939	105818	6754
940	105956	6643
941	106108	6533
942	106264	6423
943	106392	6311
944	106508	6198
945	106599	6084
946	106727	5973
947	106805	5858
948	106905	5745
949	107064	5634
950	107224	5524
951	107357	5412
952	107452	5299
953	107545	5185
954	107704	5075
955	107806	4961
956	107909	4848
957	108015	4735
958	108138	4623
959	108262	4510
960	108354	4397
961	108445	4283
962	108577	4171
963	108677	4058
964	108824	3947
965	108915	3833
966	109062	3721
967	109186	3609
968	109296	3496
969	109401	3383
970	109536	3271
971	109635	3158
972	109746	3045
973	109880	2933
974	109989	2820
975	110093	2707
976	110205	2594
977	110331	2481
978	110448	2369
979	110582	2256
980	110706	2144
981	110840	2031
982	110988	1919
983	111118	1806
984	111278	1694
985	111374	1581
986	111500	1468
987	111604	1355
988	111711	1242
989	111843	1129
990	111987	1017
991	112127	904
992	112287	791
993	112400	678
994	112511	565
995	112624	452
996	112723	339
997	112827	226
998	112922	113
999	113045	0
